"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138"
"hsa-let-7a-3p",2.47492457588536,5.58766827949133,-1.39259082615876,1.23430945326911,6.08271037522415,-1.39259082615876,6.95155088753931,4.00583950212526,4.59279769271714,4.89063460509167,3.45627685622375,-1.39259082615876,2.64063468730827,3.07012837412368,4.78103469250234,1.90753140874179,4.51824538762217,4.29942654531181,-1.39259082615876,5.87203412736855,5.25093454603854,6.03359795091534,3.37438942210329,3.34504733441655,3.72220669038794,2.31882485864854,5.03362299815873,3.51554799894732,5.38536121706075,3.1819478914582,1.14262253863531,4.33968762848796,2.55363525812531,3.82593904155306,5.27109864035565,1.35011862121103,5.82938160902063,5.05902205416886,2.13553576711038,4.46548411528245,2.61083390428455,4.28795457028144,5.32702635245404,3.0600357475478,6.72365501593494,8.90320654608724,6.63117860727017,-1.39259082615876,6.4693333368392,5.23958516712763,5.49466041181226,5.30622746823016,6.05415574620628,6.92943660208694,7.36369274419478,7.09541700252624,6.46785977991144,4.7054285914838,5.981150920478,3.85940964566769,6.29562531070381,3.71276237412415,2.41862853594409,1.24652020750376,3.49317987474023,2.74554129569505,-1.39259082615876,1.88595078766178,-1.39259082615876,-1.39259082615876,4.78000322172739,2.10192804950737,5.17232904201748,2.18747469094164,4.72818418362958,6.3229820764843,3.85604458279334,2.38084250017223,4.16609068466804,4.55930580568195,6.47092874520314,5.49923498523985,3.95010387622452,3.74172695290632,3.28394867057354,2.70933028658165,4.45264290347093,3.35934214170556,1.26218828303402,5.24823679029052,-1.39259082615876,-1.39259082615876,3.29792608646994,2.2960160928496,-1.39259082615876,4.00238426762105,6.57577798258356,5.86493079422842,5.72331516844243,5.60575079723877,1.96716810455488,2.52584908703874,0.917834279572562,2.95400742552985,-1.39259082615876,-1.39259082615876,-1.39259082615876,1.2596650753314,-1.39259082615876,1.60009746042968,2.26185070185733,2.67609801275761,2.16242039498741,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,2.52791331023151,3.02861355325786,-1.39259082615876,-1.39259082615876,-1.39259082615876,3.8427555388336,-1.39259082615876,-1.39259082615876,3.36015214168923,-1.39259082615876,5.03709448114836,0.724078669314274,5.26085068117439
"hsa-let-7a-5p",11.8216059549278,14.3979958842434,16.5369311513029,9.36980116151851,14.8577787078327,13.01505670515,14.3353876068458,12.1001402401833,10.9860918710451,13.6380893205938,12.2815678127109,12.3880748978991,10.5368734046582,10.0232893902505,12.4174341779163,10.5957904266892,11.8161451136003,12.8933705762113,10.5407490484958,13.212968394204,12.8293378804731,12.8356430543191,11.5973711648425,13.0787138270674,12.1406821180378,12.7205324414848,12.6320706575265,11.6640674526445,14.0416037055569,11.582160320967,13.0347156313,12.253317303524,11.722255626117,11.7915056554675,14.0534939791929,10.8691717928177,14.5924128732182,12.8773828814126,9.14638299258824,12.4369031782476,11.1845394652244,13.1127456380227,13.7698125448091,12.1825394733276,15.5756610934039,17.0021616854962,14.1166176942496,8.78657318975994,15.3129279513524,12.2555627361765,14.0206822060834,13.7812993177159,14.277111290285,15.3885607857881,15.1985362443816,15.7573515835594,14.5600329972513,12.9668585740487,15.2376042763619,12.6685004260029,14.0177815259959,11.4809962215036,11.8130047753528,11.3094419193929,12.0893209964697,11.4703448172306,10.6063988972102,9.45774754433246,12.9321215692569,11.1378221987707,13.0290553169095,11.6378301047505,11.9385094022392,10.4227452598643,12.8461968929451,14.5231396973803,11.865341952927,11.7556622344666,13.1765060820752,13.714265862007,14.2656485201512,14.4009016767556,12.7305311261073,11.7912041779917,11.8698026212366,11.5007877998562,13.1019351741391,11.7213062481922,10.98117935955,12.2796208072439,10.0199009122344,10.674771392986,11.09502480116,11.0179668347198,13.9432267940024,12.3782381795706,14.5421774899813,13.6668265324169,14.7622343814297,13.9147241398312,12.0928407473107,13.0658158429702,11.9709057375703,12.8147655244272,11.5672122434043,12.9519515370967,12.7787349693253,11.2578726454195,13.1057130259181,10.6259211126008,13.6458449997382,12.5101322477611,12.5260818427671,13.5891017985309,11.6859605356865,13.1831070530147,11.4550603762528,12.140273297427,15.2067054506041,13.5485828407165,12.2238888200357,14.6984005567209,14.3281164400469,12.7753533685409,15.1997509083073,12.5869457123016,11.3162852090073,13.9982477291786,12.3968953929034,13.3215346775731
"hsa-let-7b-3p",5.58910959434369,6.63757916677468,9.62579634501829,2.49544750856811,7.76516415622323,5.77779139506106,7.53503278338708,5.0221797784111,2.50044956938873,6.53002567956053,4.13733178851342,2.42905161826722,3.90870036878752,3.07012837412368,5.3593197301999,3.13878904806189,4.51824538762217,5.28540534251713,3.5941473247859,5.5939352792889,5.6261122603492,6.64366829299569,4.00706824166036,6.61746732975819,5.34561231555629,5.02854770460724,5.13203983024843,5.59358334451352,5.81490825955181,3.64997067914816,5.46686966586765,5.32605413313399,5.17262456476902,4.54732189545486,5.88759790926319,2.87182833765969,7.30316182660493,5.696931999839,2.5189656791883,5.63591245122166,2.40335655935654,5.62436688425836,6.51195080845431,4.7501270627496,8.16514677872596,9.30502579088329,7.54610540862384,-1.39259082615876,7.85780659412542,6.68099379995661,6.05629954511174,7.31280630659669,7.4963678291387,7.51289561579428,7.98293750936027,8.71045800540984,6.86970056262554,4.52605767005148,7.36279125392959,6.15072840765894,5.40121065970921,4.28368704340191,4.65590160937606,3.62430041949245,5.95492245295001,4.74078005686767,-1.39259082615876,-1.39259082615876,6.20733954768954,4.17091874975874,4.20500641926136,4.68977633070918,4.88620474748865,2.48507209644044,5.71778084857904,7.31954615904035,3.89678014989759,4.82683024564114,5.37088553911839,5.86718185014094,7.48339155096817,5.89484894316539,5.06808393029965,6.4904503107753,5.18023549002283,4.59324490555937,4.45264290347093,4.48990978323763,3.98641189082527,4.39336044748384,4.69068283272546,-1.39259082615876,2.74063217801975,4.32274937419272,5.88241608837164,5.15313425748126,7.23262735160406,6.91448142161044,7.36008131271963,6.52240985616599,5.05828700897399,5.20761685453596,4.70175013092092,5.57097147327883,-1.39259082615876,-1.39259082615876,2.72713577378427,2.14009894537792,5.3160253459666,3.20425644441234,-1.39259082615876,4.20257351597224,4.28499415073012,4.17479237597413,4.63184805777604,4.91292268630208,5.49854096789178,2.36984896666813,7.05126535611302,4.71420586349232,5.33753502552765,7.86320658344931,7.07106661504771,5.39877642963609,7.4661782604847,6.633096629749,5.02229044624923,4.85875195117917,2.0682497425376,5.26085068117439
"hsa-let-7b-5p",9.56856253109452,12.1600921034395,13.6371164300586,6.73955722048098,12.1455676660164,10.3380211281184,11.3377246636343,9.40626398074324,9.96271268368485,10.4828722551505,9.26419914950793,9.16967413115725,8.48984211227115,7.90029019881354,9.87002064534533,8.8680036722139,8.61094795604722,10.0791095264637,7.42558270406965,10.3224821005006,10.0949151644724,10.4016530685557,8.50324964767242,10.4899864602847,9.85333707507996,9.70077402142478,10.1435701800361,9.61712842200805,11.0672908239687,9.77892952196195,10.0298261472184,9.52955967451801,8.52445087878184,8.56509480855102,11.1546518583687,8.61631637680891,11.7037795681807,9.46107618162892,6.43362822744087,9.78571686130186,7.72999644215962,11.2319578860346,10.8942232174691,9.21591346956162,12.3838851024914,13.8192553295495,11.4303132043044,5.61249967285908,12.6530283054219,9.44298754293159,10.9062859190382,9.89488582823707,11.186579433083,11.0870617318556,11.7711667738046,12.5543041280733,11.0371342650482,9.41800199977033,11.676231169279,9.38563542621083,10.2728654241937,8.54821791805013,9.06123201742292,8.8839826486788,9.00430263220786,9.11064181059801,8.5375505127538,7.48699922593647,9.98832746890016,8.90204659452985,9.79756979586292,8.86388443419211,7.94773295016594,7.32232313489435,10.1765463179118,11.558777825848,8.54217316075372,8.55814538332474,10.023206051173,10.6550909853002,11.6555746212405,12.5970729211042,9.72211223747156,9.39203458892841,9.17766291610985,8.6433347459877,10.6545620263602,8.6344429184597,8.00354819385172,9.41217399425791,8.20454269638501,7.97809581877118,8.29073269051024,8.08043318623663,10.4261394935529,9.39476490864754,11.3694101105288,10.5260917253828,13.0550157724484,10.9669892741463,10.8233632703949,11.0560207516079,10.4151925056301,10.4875263178947,8.79689152744496,11.7824904023594,11.4904795911915,9.75519055592073,11.806939074743,8.58110105743629,11.7462595770665,10.2848617029302,10.3444135596168,10.1713190308318,9.58062393994507,10.3850482228427,8.74873776869693,8.86792704445538,12.2474788917106,10.2535646038789,9.64183578779797,12.2039508895298,11.3663904036487,9.7972433537082,12.3662604547781,9.88212159204596,9.13870764390455,12.0724769537187,9.4473741731016,11.9158686120192
"hsa-let-7c-3p",-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,2.55428723289165,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,1.23552052751723,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,2.55254197803391,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,2.0401545983855,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,4.11148590685889,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,2.04014727007227,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,3.57304715077315,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-0.0556433784443448,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876
"hsa-let-7c-5p",6.08111390374226,8.52942917759133,10.3815870353697,3.15791306710669,9.07559885163406,6.94214144944125,7.39515741303252,6.1863833661211,4.94147579248954,7.68202377829227,6.81958816743814,5.65609610827341,4.68668673442798,4.82997546766827,6.22769149042119,3.13878904806189,6.08713249452171,6.01672407652873,5.43513970850403,6.73452424123009,7.27560630579895,7.69526365996965,6.04495826796524,6.93827571534694,6.16568028358297,6.73299547503242,5.97305549242271,5.14525753988937,7.16259137424031,5.06262845647102,6.78132386778036,6.25240223359959,4.48167555260098,5.53552338218298,7.58159760360632,3.64664699722583,7.8221155543253,6.63295358877725,3.9580599137437,6.57171396193705,5.24868521580487,6.79501890354583,7.55323984874447,5.58902024267176,8.22278720424307,10.8763555210162,8.23887926869738,2.05538074781638,9.04911860929363,6.6455037663875,7.39641927017057,8.80807215976333,8.34301156528529,9.03866679160315,9.00269410632187,9.6852909067464,8.39172224885781,6.58210261173058,9.11846513134589,6.89605577466681,7.69336891346096,5.07889985613084,5.4941782848792,5.39947082423365,6.29186910154728,5.54745351742094,5.54210676689456,0.274591108363121,7.93005913271655,5.37577275590429,6.88001289928668,5.62293667027385,6.28958213828067,4.47867424135752,8.61559413701002,9.2101149073624,5.64801737304617,5.76683876137672,6.55604177795903,7.64289768124783,8.93096972294026,7.65967995297942,6.40602771178826,6.34426356975215,6.48049526815671,4.87860657106465,7.49215880590285,5.43948934572897,5.05904603469918,5.96078513569808,6.23598274976351,4.46845702609291,4.99524192564904,5.00412837584473,7.64400509450917,5.97643733509092,9.07798310572079,7.93863281419604,8.68000118817356,8.11666031354697,5.3769129771622,6.69548079740111,5.99398107577255,5.37997678668282,5.53454096238478,6.75654613028313,4.98109766418816,4.04343641840825,6.68602348661328,5.12270297695727,6.60755089842039,5.30189052292724,5.21889090246583,6.73417559594818,5.16100619105435,6.87906433989607,5.25147298041244,4.8633844558527,8.38755998994857,5.47603569608112,6.35369944894296,7.90495933056772,6.44253971251177,5.33228232652521,7.90393644143403,7.96317727389341,5.95756796464383,5.98588852832698,6.4607012793002,7.20952302723555
"hsa-let-7d-3p",8.96692074109738,10.8123903143863,13.4886464636659,6.49867736416713,11.7596819121095,10.5937368204519,11.7036402558039,9.09166559976913,8.46217436033169,10.6574330075979,10.4582829207305,7.59286528168355,7.52233172476338,7.62067506481359,10.0141057872133,7.42870318075033,9.95405032979824,10.6466287790148,7.96515191355308,10.9578290954512,10.8834612425206,10.5891308721422,9.36563205044826,10.5523927811447,9.54929395512501,9.82691550891598,10.1257649385025,10.0446306123188,11.6549500737264,8.66987886010929,10.279262260931,9.73919841129833,8.74355344344928,9.44566170384323,10.7830823705705,8.08907750828969,11.6067330337185,11.1261690021943,6.53422814588403,9.93862525034612,8.54179553056104,9.95745387410219,11.0179348553894,10.0911326373723,13.0568758401507,14.1377612291131,11.7273245904816,4.3838620249864,12.0742706549007,10.0225085145474,11.5383224290968,11.2784711864734,11.7627621027304,12.5667025327804,13.3118217890985,12.9741045573766,11.5937562183333,10.3358105017631,12.7867779336864,10.3403191637636,11.9418538990164,9.02443475407666,8.93518497096561,8.58047447669874,9.48139472093641,8.3770861879816,4.45924899009995,4.2811502411804,8.99537677708302,5.07402872218564,10.8369789301188,9.51553218765539,6.94995688539482,8.14558857375091,10.2927025939203,12.4975268307517,9.88235987403224,9.03255521733606,10.0409610291665,10.9386748465715,12.2295625314116,11.6625838329394,10.0105637851639,10.9227301116944,9.53396347306008,9.06673487083784,10.3116248661749,9.04172800984195,5.99101254837341,10.6592284869734,7.27037278389141,5.86276926481735,9.0057792123093,9.16159977426436,9.71921307373282,10.9679579690065,12.2821907433337,11.1692907174848,11.7965103469118,11.271529702578,8.69100275025163,10.297936114223,9.27338438769411,10.1201922054637,8.12286892073202,4.65791043166396,9.50040552976207,7.64183129911316,10.1998730043859,7.72490883757962,10.6346720371262,9.52483771185941,9.28294546528102,10.2655042466364,8.81236925424866,10.4254806890823,8.43545565277787,8.2499110125407,11.5782187242452,9.54008491995693,10.1250644082642,12.0565992163146,11.2237085106525,10.1410667454756,11.5168235666049,10.0927214735976,9.96360436283297,10.3104413340347,9.34958208246331,10.7207044524763
"hsa-let-7d-5p",8.51699357310638,11.0725169739819,13.286854576017,6.22211428821393,12.0822013178321,9.84362722628152,10.9398505914672,8.99993928618958,7.90206443734573,10.6253164650355,9.46138636109265,7.2337755667588,8.20501890018935,6.93839505665285,10.1960056123636,8.0860254798833,9.30229015930598,10.8714527164204,8.07351701808825,10.862916373336,10.6083425325956,9.84521053663151,9.16146814030948,10.197290678088,9.17733349567926,9.30316071844005,10.1137715124323,9.10188783801915,11.4024728640835,8.90783327295943,10.1437104981935,8.98322815786817,8.54580258425492,9.44328035503861,10.9849896161063,8.03762058537127,11.774038600386,10.3166703371349,6.16440980773676,9.6073766357454,8.60379441579442,10.2624972763417,11.4309287281497,9.80485344998971,12.9616892371643,14.1267799053743,10.9558220538787,3.03595389427064,12.160206014811,9.22588511129956,11.4871142340867,10.9582230435067,11.3955989630645,12.5144792421312,12.6134586133813,12.5246761741839,11.1297392701256,9.96576814938017,12.7253378968588,9.41580142342057,11.9160287533028,8.36538647022351,8.86008763935816,8.17588626905799,9.16331338912489,8.58545030626793,5.51884110821005,3.58299840915222,7.41256602126007,6.33453719730592,10.5415913188489,8.78930825591695,5.95439449751601,7.92174668246818,9.78931140273416,11.3259448054674,9.29038164393716,8.71221849683961,10.0898532430806,11.0611955414378,11.909968358491,12.0135781108409,9.81678955151795,8.54283097891351,8.89997692749099,8.07483860932882,10.4015744093199,8.96995804816367,6.63297775336593,10.2047884675669,3.63613069466212,6.25210148096967,8.94711430118882,8.87188369248192,9.43610685990892,10.3124117154703,11.9313979189297,10.855767893602,12.3221625835897,11.4512899089555,9.37727891091888,10.1997517351466,9.3587248455252,10.2585188835383,5.36609707038748,7.75400285936735,10.3969607555119,8.79885760530524,10.6172117148198,7.79546140120069,9.75044167851646,8.63323231663408,8.69367478275141,9.23241903339478,7.96925894276911,9.23730475027367,8.05415573681154,8.48012830230921,11.3650033111811,9.80102893841587,8.31392702370396,11.4138282146141,10.6597709817206,9.19865941500151,11.5761668978377,8.95634389808562,7.4577187946488,10.8814565608865,9.06804787397777,9.98395592110118
"hsa-let-7e-3p",-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,3.02931187604778,4.79708118145114,2.28155785242652,-1.39259082615876,2.19035048074877,-1.39259082615876,-1.39259082615876,0.440147898397719,1.2541588307955,-1.39259082615876,-1.39259082615876,-1.39259082615876,3.72835028929281,-1.39259082615876,3.4126661310733,2.05336190423955,-1.39259082615876,-1.39259082615876,4.31775283695588,2.55428723289165,1.42495882822362,-1.39259082615876,-1.39259082615876,2.72103239524976,1.0839059487833,-1.39259082615876,2.53583138122657,2.01472618423248,1.4227630516099,-1.39259082615876,-1.39259082615876,2.66134241015369,-1.39259082615876,-1.39259082615876,3.35752296289011,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,3.68916223593389,-1.39259082615876,-1.39259082615876,-1.39259082615876,5.21601401863678,4.57852358745822,3.55496963389841,2.10521547439064,5.28613770579509,-1.39259082615876,2.57645513815829,1.83331056504816,-1.39259082615876,2.12581261298224,-1.39259082615876,0.521187091967224,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,2.04014727007227,3.55623228360555,1.88692068136326,0.429091844311966,-1.39259082615876,1.43322023142472,-1.39259082615876,4.51133277612873,1.76380373540645,0.867848318696483,0.956624517350726,-1.39259082615876,1.34054188590783,-0.0556433784443448,-1.39259082615876,2.38846824045451,-1.39259082615876,-1.39259082615876,1.8205898292907,2.2960160928496,-1.39259082615876,-1.39259082615876,-1.39259082615876,2.27341571877189,4.7336788144499,4.94935315809147,0.639003359383596,1.85112966676049,2.29456804329836,3.6052393055788,4.69599698685271,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,1.10302892906231,2.26185070185733,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,1.88200118474287,2.21730315717315,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,-1.39259082615876,2.4119726078623,3.00302273346593,3.21375734505234,-1.39259082615876
"hsa-let-7e-5p",6.86554128697422,9.87767506159087,12.0312243046611,4.70123685557352,11.0597306084959,8.91572055837591,10.4393533921532,7.943083770824,5.62058489821313,9.73770480724205,9.04660866320603,7.18499184796529,4.89028989421531,6.18069062408277,6.72032587413443,4.94101016467472,6.50014791634932,8.61842021721662,5.87920788805642,8.97592249933788,8.49345784898348,8.43116834691248,7.20328386585402,8.24593946304105,6.87728498227271,8.0008212491049,7.78174845702808,6.38018398898815,9.49806976403705,6.47677254703852,7.77882394116348,7.66292781420346,7.66902449581417,6.51151568436071,8.42831899952027,5.33200511606634,9.37348644791059,8.24392985998968,4.11479804974457,6.65883695721084,6.38959184357941,7.30256067613462,8.67718517364858,7.99475259211655,10.9917347388637,11.6105790338423,9.27676461141189,4.00206080335388,9.88996244604193,6.99481669715461,9.06359420476765,8.8436661682231,8.97123036860419,10.6721084284597,11.183242920639,10.5780676294907,9.13047477932534,8.38064732063207,10.8721921504227,7.20329055948422,8.87474679420435,6.90364776274191,6.70958736781348,6.78044279759192,7.25449455015138,5.70153233346282,6.82883834781025,1.02745289738024,6.95919418635672,7.25915392586877,8.69978445673802,7.31120089736786,6.09794019909197,4.60777404489186,8.37733387756704,9.99310218208875,7.36645572559795,6.87291561481727,8.32800508331642,8.40532719517438,10.4670678325013,9.39474204215353,8.2378560192046,7.23422352830674,6.96776306162445,6.57606968743628,9.1176159843472,6.58935777325061,6.58324746310643,8.3201495874835,6.69342473495288,6.74553164892759,6.60415556425543,7.05814677457312,9.53914564473252,6.97206711161143,9.05103524211128,9.12180258910137,9.24516378662576,9.68255410290302,5.91590073468696,8.26686315999581,6.72749384610514,7.57348052537124,8.84575994476714,8.26225953388282,7.9293238736369,5.34522979377965,7.56809822549381,6.3978293402334,9.03833650162325,8.24747437531025,7.23418710590474,9.0615477808239,7.16179182255595,8.36293598985387,6.80858615983884,6.42569764874246,10.3523913074787,8.27276968276009,8.26628832145924,9.22551119414855,10.217183051529,8.55707717386341,8.71629277954901,8.33412558858545,7.03695334321516,7.76821080177612,7.62483556476719,8.56982249875058
